id_client,idade,salario_anual,num_contas,num_cartoes,juros_emprestimo,num_emprestimos,dias_atraso,num_pagamentos_atrasados,num_verificacoes_credito,divida_total,taxa_uso_credito,idade_historico_credito,investimento_mensal,saldo_final_mes,profissao,mix_credito,comportamento_pagamento,score_credito
3392,23.0,19114.12,3.0,4.0,3.0,4.0,4.25,5.5,4.0,809.98,27.161,268.5,21.465,304.555,cientista,Bom,alto_gasto_pagamento_medio,Good
8625,28.0,34847.84,2.0,4.0,6.0,1.0,3.5,2.25,2.0,605.03,33.481,322.5,39.684,454.344,professor,Bom,alto_gasto_pagamento_alto,Good
11708,34.0,143162.64,1.0,5.0,8.0,3.0,8.5,6.125,3.0,1303.01,35.493,216.5,168.414,852.899,engenheiro,Bom,alto_gasto_pagamento_baixos,Good
47249,54.75,30689.89,2.0,5.0,4.0,1.0,4.25,6.375,4.0,632.46,31.781,210.5,29.393,389.938,empresario,Bom,baixo_gasto_pagamento_alto,Standard
7387,21.0,35547.71,7.0,5.0,5.0,0.0,5.625,14.875,4.0,943.86,30.291,371.5,37.644,414.856,desenvolvedor,Normal,alto_gasto_pagamento_medio,Standard
38382,31.0,73928.46,4.0,5.0,8.0,0.0,8.75,7.0,2.0,548.2,35.433,386.625,42.636,630.775,advogado,Bom,alto_gasto_pagamento_alto,Good
10314,33.875,131313.4,0.0,1.0,8.0,2.0,0.0,2.625,3.75,352.16,34.706,370.5,86.566,771.208,advogado,Bom,alto_gasto_pagamento_alto,Good
21511,30.0,34081.38,8.0,7.0,15.0,3.0,30.25,13.25,5.5,1704.18,32.267,178.625,29.326,353.221,gerente_midia,Normal,alto_gasto_pagamento_alto,Poor
16727,23.375,114838.41,2.0,5.0,7.0,3.0,11.875,11.375,6.125,1377.74,30.301,259.5,212.236,662.603,medico,Bom,alto_gasto_pagamento_baixos,Good
47624,44.25,31370.8,0.875,5.875,12.0,2.0,1.5,0.5,4.25,421.43,28.747,320.625,22.298,320.785,jornalista,Bom,baixo_gasto_pagamento_baixo,Good
42603,40.125,33751.27,5.0,5.0,20.0,3.0,16.125,19.875,7.0,1328.93,32.252,233.5,25.193,376.052,professor,Normal,alto_gasto_pagamento_alto,Standard
49323,32.875,88640.24,3.0,6.0,1.0,2.0,4.0,1.25,3.0,950.36,33.203,308.5,77.841,524.318,engenheiro,Bom,alto_gasto_pagamento_alto,Good
15941,35.25,54392.16,6.0,4.0,14.0,3.0,10.625,8.5,4.0,179.22,29.911,325.5,33.35,321.504,empresario,Normal,baixo_gasto_pagamento_baixo,Standard
27750,39.0,8701.545,6.0,5.0,32.0,7.0,22.5,8.375,6.75,2602.69,33.252,110.5,13.066,259.326,gerente,Normal,baixo_gasto_pagamento_alto,Poor
4084,36.875,25546.26,8.0,7.0,14.0,5.0,15.875,12.125,5.0,758.44,32.598,221.5,19.356,259.981,empresario,Normal,baixo_gasto_pagamento_baixo,Standard
